,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
425,Ryotsu,92,JP,1538246682,100,38.08,138.43,65.98399999999998,11.868435719999999
377,Nikita,24,UA,1538246667,100,44.52,34.24,59.50399999999996,3.1941008699999998
184,Zhigansk,44,RU,1538246608,100,66.77,123.37,33.67399999999998,2.0591411699999997
396,Dakar,44,SN,1538246555,100,14.69,-17.45,80.47399999999999,6.68004852
92,Sorland,92,NO,1538246579,100,67.67,12.69,48.88399999999996,15.111177719999999
93,Buala,44,SB,1538246579,100,-8.15,159.59,78.31400000000002,2.62662102
534,Buchanan,92,LR,1538246718,100,5.88,-10.05,77.41400000000004,5.30188317
471,Namatanai,0,PG,1538246697,100,-3.66,152.44,81.73399999999998,11.21988732
96,Clyde River,56,CA,1538246580,100,70.47,-68.59,24.583999999999946,3.7615807199999995
412,Ahipara,0,NZ,1538246678,100,-35.17,173.16,40.87399999999997,2.70768957
388,Trat,32,TH,1538246671,100,12.25,102.51,79.66400000000004,1.24845567
101,San Andres,48,PH,1538246582,100,13.32,122.68,82.094,8.78783082
479,Necochea,100,AR,1538246699,100,-38.55,-58.74,56.26399999999995,14.867972069999999
504,Hasaki,75,JP,1538244480,100,35.73,140.83,64.39999999999992,3.4048791
503,Dabhol,68,IN,1538246708,100,17.6,73.17,78.31400000000002,0.35670162
233,Zalantun,56,CN,1538246624,100,48.0,122.72,47.62399999999997,3.51837507
108,Meulaboh,80,ID,1538246584,100,4.14,96.13,77.594,3.1941008699999998
185,Namsos,92,NO,1538246609,100,64.47,11.51,44.113999999999976,8.70676227
87,Atuona,0,PF,1538246578,100,-9.8,-139.03,79.48399999999998,8.05821387
237,Maroantsetra,88,MG,1538246625,100,-15.43,49.74,66.70400000000001,3.43730652
529,Angoche,0,MZ,1538246716,100,-16.23,39.91,78.31400000000002,6.761117069999999
192,Naifaru,80,MV,1538246175,100,5.44,73.37,83.084,12.11164137
71,Aguadilla,75,PR,1538243400,100,18.43,-67.15,82.39999999999992,13.295242199999999
283,Umba,8,RU,1538246639,100,66.69,34.34,39.43399999999997,9.193173569999999
80,Barrow,100,AR,1538246576,100,-38.31,-60.23,55.00399999999996,7.733939669999999
285,Luganville,100,VU,1538246640,100,-15.51,167.18,77.594,16.002931769999996
239,Vanimo,48,PG,1538246625,100,-2.67,141.3,81.464,7.2475283699999995
66,Isangel,92,VU,1538246571,100,-19.55,169.27,71.20400000000001,11.46309297
65,Kavaratti,24,IN,1538246571,100,10.57,72.64,81.55400000000003,6.27470577
64,Busselton,68,AU,1538246570,100,-33.64,115.35,56.89400000000006,11.706298619999998
288,Berlevag,48,NO,1538246641,100,70.86,29.09,35.563999999999965,11.868435719999999
281,Ratnagiri,76,IN,1538246639,100,16.98,73.3,78.584,3.03196377
84,Padang,68,ID,1538246577,100,-0.92,100.36,79.30400000000003,3.3562379699999996
85,Qaanaaq,36,GL,1538246577,100,77.48,-69.36,19.903999999999996,4.08585492
290,Kavieng,12,PG,1538246642,100,-2.57,150.8,83.44400000000002,4.734403319999999
280,Port Lincoln,8,AU,1538246638,100,-34.72,135.86,50.863999999999976,9.51744777
109,Hambantota,92,LK,1538246584,100,6.12,81.12,74.80400000000003,3.92371782
37,Rikitea,12,PF,1538246561,100,-23.12,-134.97,72.01399999999995,8.139282419999999
440,Ternate,20,PH,1538244000,100,14.29,120.72,80.59999999999997,5.545088819999999
311,Sabancuy,0,MX,1538246648,100,18.97,-91.18,84.43399999999991,5.950431569999999
405,Banda Aceh,68,ID,1538246591,100,5.56,95.32,75.88399999999996,1.4105927699999998
132,Iqaluit,90,CA,1538244660,100,63.75,-68.52,33.799999999999955,1.621371
14,Butaritari,36,KI,1538246553,100,3.07,172.79,84.70400000000001,0.9241814699999998
247,Lata,0,IN,1538246628,100,30.78,78.62,47.17399999999998,1.24845567
495,Whitianga,0,NZ,1538246705,100,-36.83,175.7,54.464,2.54555247
11,Faanui,92,PF,1538246552,100,-16.48,-151.75,76.60399999999998,5.22081462
330,Port Blair,0,IN,1538246654,100,11.67,92.75,83.62399999999997,2.30234682
128,Severo-Kurilsk,36,RU,1538246425,100,50.68,156.12,46.18399999999997,6.27470577
140,Tuatapere,44,NZ,1538246594,100,-46.13,167.69,44.833999999999946,5.05867752
142,Kudahuvadhoo,56,MV,1538246594,100,2.67,72.89,83.62399999999997,10.895613119999998
253,Lorengau,0,PG,1538246629,100,-2.02,147.27,82.99400000000009,6.8421856199999995
4,Castro,44,CL,1538246550,100,-42.48,-73.76,43.033999999999935,5.22081462
254,Fare,88,PF,1538246629,100,-16.7,-151.02,75.97399999999999,4.9776089699999995
156,Sorong,12,ID,1538246599,100,-0.86,131.25,81.28399999999993,7.733939669999999
229,Haimen,0,CN,1538246622,100,31.87,121.18,66.79400000000004,9.193173569999999
521,Samarai,88,PG,1538246713,100,-10.62,150.67,76.15400000000005,11.94950427
264,Dunedin,92,NZ,1538246589,100,-45.87,170.5,43.84400000000005,2.54555247
122,Tiksi,88,RU,1538246588,100,71.64,128.87,30.97399999999999,2.30234682
480,Alice Town,12,BS,1538246700,100,25.72,-79.3,84.70400000000001,12.92232687
468,Bilibino,92,RU,1538246695,100,68.06,166.44,34.483999999999924,3.03196377
